Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,4.040000,5.970000,4.010000,4.730000,4.730000,227878100
2023-06-19,4.830000,6.168000,4.110000,4.340000,4.340000,274477900
2023-06-26,4.540000,4.890000,3.860000,3.880000,3.880000,250051400
2023-07-03,3.860000,4.030000,3.600000,3.670000,3.670000,86923300
2023-07-10,3.690000,4.230000,3.600000,3.800000,3.800000,102897400
2023-07-17,3.830000,4.050000,3.690000,3.830000,3.830000,75921200
2023-07-24,3.860000,4.000000,3.670000,3.930000,3.930000,69368400
2023-07-31,4.010000,4.320000,3.680000,3.720000,3.720000,98973700
2023-08-07,3.780000,3.790000,3.110000,3.240000,3.240000,94455800
2023-08-14,3.220000,3.250000,2.620000,2.850000,2.850000,91065400
2023-08-21,2.880000,2.890000,2.460000,2.540000,2.540000,57249300
2023-08-28,2.590000,2.760000,2.520000,2.580000,2.580000,46850700
2023-09-04,2.570000,2.700000,2.220000,2.290000,2.290000,52988000
2023-09-11,2.300000,2.310000,1.860000,2.050000,2.050000,131846900
2023-09-18,2.040000,2.040000,1.700000,1.710000,1.710000,58265200
2023-09-25,1.690000,1.815000,1.570000,1.800000,1.800000,39798500
2023-10-02,1.830000,1.840000,1.740000,1.770000,1.770000,7129200
